community,counts,house
1,142,token
2,1,token
3,1,token
4,1,token
5,1,token
6,1,token
7,1,token
8,1,token
9,1,token
10,98,token
11,14,token
12,1,token
13,1,token
14,52,token
15,1,token
16,1,token
17,1,token
18,1,token
19,1,token
20,1,token
21,1,token
22,1,token
23,155,token
24,1,token
25,1,token
26,1,token
27,1,token
28,1,token
29,1,token
30,1,token
31,1,token
32,1,token
33,2,token
34,1,token
35,1,token
36,1,token
37,1,token
38,1,token
39,1,token
40,1,token
41,1,token
42,1,token
43,1,token
44,2,token
45,1,token
46,1,token
1,44,citizen
